spotify_id,artist_name,event_date,venue_name,venue_city,venue_country,event_url,ticket_url,ticket_status,start_time,timezone
5F0iFhw7bZE7a8INjualJn,Braza,2019-08-16,Carioca Club Pinheiros,Sao Paulo,Brazil,https://www.bandsintown.com/z/1016111915-braza-at-carioca-club-pinheiros?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1016111915-braza-at-carioca-club-pinheiros?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2019-08-16T01:00:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2019-06-23,Hocus Pocus Studio & Café,Sao Jose Dos Campos,Brazil,https://www.bandsintown.com/z/1014478774-braza-at-hocus-pocus-studio-and-cafe?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1014478774-braza-at-hocus-pocus-studio-and-cafe?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2019-06-23T18:00:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2019-06-22,Aldeia Bar,Jundiaí,Brasil,https://www.bandsintown.com/z/1014479172-braza-at-aldeia-bar?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1014479172-braza-at-aldeia-bar?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2019-06-22T23:00:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2019-06-14,Arena Club,Santos,Brazil,https://www.bandsintown.com/z/1014454612-braza-at-arena-club?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1014454612-braza-at-arena-club?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2019-06-14T22:00:00,America/Sao_Paulo
5F0iFhw7bZE7a8INjualJn,Braza,2019-02-15,The House,Sao Paulo,Brazil,https://www.bandsintown.com/z/1013576740-braza-at-the-house?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1013576740-braza-at-the-house?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2019-02-15T22:00:00,America/Sao_Paulo
5Ayb9yqemFxECJB8LEG8ln,Çantamarta,2025-05-16,Sala X,Sevilla,Spain,https://www.bandsintown.com/e/1035224064-cantamarta-at-sala-x?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1035224064-cantamarta-at-sala-x?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2025-05-16T21:00:00,Europe/Madrid
5Ayb9yqemFxECJB8LEG8ln,Çantamarta,2025-05-15,Planta Baja,Granada,Spain,https://www.bandsintown.com/e/1035224050-cantamarta-at-planta-baja?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1035224050-cantamarta-at-planta-baja?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2025-05-15T21:00:00,Europe/Madrid
0qK9aSzT5EIttqbaM1fPwN,Márcia Castro,2018-09-18,Sala do Coro do TCA,Campo Grande,Brazil,https://www.bandsintown.com/z/1011744410-marcia-castro-at-sala-do-coro-do-tca?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1011744410-marcia-castro-at-sala-do-coro-do-tca?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2018-09-18T20:00:00,
0qK9aSzT5EIttqbaM1fPwN,Márcia Castro,2017-05-13,Teatro Castro Alves,Salvador,Brasil,https://www.bandsintown.com/z/18505443-marcia-castro-at-teatro-castro-alves?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/18505443-marcia-castro-at-teatro-castro-alves?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2017-05-13T19:00:00,
0qK9aSzT5EIttqbaM1fPwN,Márcia Castro,2016-06-13,(le) poisson rouge,New York,NY,https://www.bandsintown.com/z/15267975-marcia-castro-at-(le)-poisson-rouge?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/15267975-marcia-castro-at-(le)-poisson-rouge?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2016-06-13T19:00:00,
5A70LBFCFtNwOmbPj5g5uc,Dona Onete,2024-06-22,Parque Ecológico Francisco Lins do Rêgo (Pampulha),Belo Horizonte,Brazil,https://www.bandsintown.com/e/1030683445-dona-onete-at-parque-ecologico-francisco-lins-do-rego-(pampulha)?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1030683445-dona-onete-at-parque-ecologico-francisco-lins-do-rego-(pampulha)?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2024-06-22T13:00:00,America/Sao_Paulo
5A70LBFCFtNwOmbPj5g5uc,Dona Onete,2020-07-19,THEATRES ROMAINS DE FOURVIERE,Lyon,France,https://www.bandsintown.com/z/1019941239-dona-onete-at-theatres-romains-de-fourviere?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1019941239-dona-onete-at-theatres-romains-de-fourviere?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2020-07-19T19:00:00,Europe/Paris
5A70LBFCFtNwOmbPj5g5uc,Dona Onete,2020-07-15,Dolni Vitkovice Dnes,Ostrava,Czechia,https://www.bandsintown.com/z/1019379352-dona-onete-at-dolni-vitkovice-dnes?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1019379352-dona-onete-at-dolni-vitkovice-dnes?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2020-07-15T19:00:00,Europe/Prague
5A70LBFCFtNwOmbPj5g5uc,Dona Onete,2019-11-6,MUZIEKPUBLIQUE - Théâtre Molière,BRUXELLES - BRUSSEL,Belgium,https://www.bandsintown.com/z/1017619548-dona-onete-at-muziekpublique-theatre-moliere?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1017619548-dona-onete-at-muziekpublique-theatre-moliere?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2019-11-06T20:00:00,Europe/Brussels
5A70LBFCFtNwOmbPj5g5uc,Dona Onete,2019-10-30,Bouffes du Nord theater,Paris,France,https://www.bandsintown.com/z/1016209055-dona-onete-at-bouffes-du-nord-theater?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1016209055-dona-onete-at-bouffes-du-nord-theater?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2019-10-30T20:30:00,Europe/Paris
5A70LBFCFtNwOmbPj5g5uc,Dona Onete,2019-07-4,Sesc Palladium,Belo Horizonte,Brazil,https://www.bandsintown.com/z/1015636860-dona-onete-at-sesc-palladium?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1015636860-dona-onete-at-sesc-palladium?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2019-07-04T21:00:00,America/Sao_Paulo
5A70LBFCFtNwOmbPj5g5uc,Dona Onete,2019-06-7,Cine Joia,Sao Paulo,Brazil,https://www.bandsintown.com/z/1014777567-dona-onete-at-cine-joia?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1014777567-dona-onete-at-cine-joia?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2019-06-07T23:00:00,America/Sao_Paulo
5A70LBFCFtNwOmbPj5g5uc,Dona Onete,2018-07-17,Rich Mix,London,United Kingdom,https://www.bandsintown.com/z/1009251684-dona-onete-at-rich-mix?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1009251684-dona-onete-at-rich-mix?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2018-07-17T19:30:00,
5A70LBFCFtNwOmbPj5g5uc,Dona Onete,2018-04-14,Circo Voador,Rio De Janeiro,Brazil,https://www.bandsintown.com/z/1007942717-dona-onete-at-circo-voador?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=event,https://www.bandsintown.com/e/1007942717-dona-onete-at-circo-voador?came_from=251&utm_medium=web&utm_source=artist_page&utm_campaign=ticket_rsvp,I Was There,2018-04-14T22:00:00,
